Feature,Cluster_A,Cluster_B,N_A,N_B,Median_A,Median_B,U_Statistic,Raw_P_Value,Rank_Biserial,Abs_Rank_Biserial,Holm_Adjusted_P,Significant_Holm
Kidhome,0,2,635,1162,0.0,1.0,135496.0,4.7443759261657245e-142,-0.6327374740808002,0.6327374740808002,4.7443759261657245e-141,True
Kidhome,0,3,635,30,0.0,0.0,9554.0,0.9497251322323667,0.00304461942257217,0.00304461942257217,0.9497251322323667,False
Kidhome,0,4,635,20,0.0,1.0,2982.0,7.29742631117789e-17,-0.5303937007874016,0.5303937007874016,5.837941048942312e-16,True
Kidhome,1,2,390,1162,0.0,1.0,106689.0,4.3172520506355685e-72,-0.5291539785515689,0.5291539785515689,3.8855268455720114e-71,True
Kidhome,1,3,390,30,0.0,0.0,6511.0,0.11435820744709657,0.11299145299145308,0.11299145299145308,0.3430746223412897,False
Kidhome,1,4,390,20,0.0,1.0,2231.0,3.2148126018802138e-06,-0.4279487179487179,0.4279487179487179,1.6074063009401067e-05,True
Kidhome,2,3,1162,30,1.0,0.0,28580.0,5.928828171167037e-13,0.6397016637980493,0.6397016637980493,4.150179719816926e-12,True
Kidhome,2,4,1162,20,1.0,1.0,12671.0,0.39942964970399397,0.09044750430292603,0.09044750430292603,0.7988592994079879,False
Kidhome,3,4,30,20,0.0,1.0,139.0,4.672059490967297e-05,-0.5366666666666666,0.5366666666666666,0.00018688237963869188,True
Teenhome,0,1,635,390,0.0,1.0,43014.5,2.952043768274292e-89,-0.6526186149808197,0.6526186149808197,2.952043768274292e-88,True
Teenhome,0,2,635,1162,0.0,0.0,283915.0,2.0582024586620414e-21,-0.23044709772724192,0.23044709772724192,1.646561966929633e-20,True
Teenhome,0,3,635,30,0.0,0.0,8021.5,0.052926097716963785,-0.15784776902887143,0.15784776902887143,0.21170439086785514,False
Teenhome,0,4,635,20,0.0,0.5,4691.5,0.00848956100491169,-0.2611811023622047,0.2611811023622047,0.04244780502455845,True
Teenhome,1,2,390,1162,1.0,0.0,323291.0,1.1796261646003943e-47,0.4267664062844785,0.4267664062844785,1.0616635481403548e-46,True
Teenhome,1,3,390,30,1.0,0.0,8694.0,1.8466541274446222e-10,0.48615384615384616,0.48615384615384616,1.2926578892112356e-09,True
Teenhome,1,4,390,20,1.0,0.5,5371.0,2.578219155236001e-05,0.3771794871794871,0.3771794871794871,0.00015469314931416007,True
Teenhome,2,3,1162,30,0.0,0.0,18623.0,0.462655311131274,0.06844520940906484,0.06844520940906484,1.0,False
Teenhome,2,4,1162,20,0.0,0.5,11183.0,0.7409945258478428,-0.037607573149741835,0.037607573149741835,1.0,False
Teenhome,3,4,30,20,0.0,0.5,269.0,0.4885984724316569,-0.10333333333333339,0.10333333333333339,1.0,False
Recency,0,1,635,390,48.0,56.5,107908.5,0.0005420161481584514,-0.12854027861901873,0.12854027861901873,0.005420161481584514,True
Recency,0,2,635,1162,48.0,48.0,365401.5,0.7368498061430132,-0.009577567864257897,0.009577567864257897,1.0,False
Recency,0,3,635,30,48.0,52.5,9340.0,0.8575866024265313,-0.01942257217847765,0.01942257217847765,1.0,False
Recency,0,4,635,20,48.0,48.5,5964.5,0.644012322874365,-0.060708661417322785,0.060708661417322785,1.0,False
Recency,1,2,390,1162,56.5,48.0,252944.0,0.0005787233558111873,0.11630698618650426,0.11630698618650426,0.005420161481584514,True
Recency,1,3,390,30,56.5,52.5,6397.5,0.39318443877265696,0.09358974358974348,0.09358974358974348,1.0,False
Recency,1,4,390,20,56.5,48.5,4181.5,0.5866386089877306,0.07217948717948719,0.07217948717948719,1.0,False
Recency,2,3,1162,30,48.0,52.5,17364.5,0.972145199017014,-0.0037578886976477044,0.0037578886976477044,1.0,False
Recency,2,4,1162,20,48.0,48.5,10997.0,0.6808601605823859,-0.053614457831325346,0.053614457831325346,1.0,False
Recency,3,4,30,20,52.5,48.5,285.5,0.7815334640197326,-0.04833333333333334,0.04833333333333334,1.0,False
